[7.4209924947254775, 0.043208624180214546]
[7.148382715947796, 2.0667637378245702]
[19.83389744018074, 2.5377392262962544]
[19.75217829755385, 4.5384616728255684]
[18.001343137098228, -1.9602094610291925]
[16.977461936108853, -3.9647911466887322]
[5.147991078694193, 2.677124603447634]
[15.644079149987752, -5.9655525551176956]
[13.90669268534481, -7.969997499923734]
[11.903975657095957, -9.737658082849661]
[3.1470745071531665, 0.7759423226044833]
[9.89970151742197, -11.089248647495177]
[5.096961347028902, -13.089489105775858]
[1.1462183738307523, -13.411640182864875]
[-0.853866459205658, -13.253652906866513]
[-2.855520726247706, -12.885009610027817]
[-4.861305056165982, -12.289860083507595]
[-6.862821355025027, -11.446420483352881]
[-8.8643872340982, -10.306811412009683]
[-10.866811852104009, -8.797382717408656]
[-12.87085330404088, -6.754310645286678]
[-14.871575651694796, -3.8774901745784582]
[-16.872328706018195, 1.2491086919910952]
[-17.324266929154543, 6.539535201223295]
